icao_code,iata_code,name,city,country_code
SCCY,GXQ,Teniente Vidal Airport,Coyhaique,CL
SCDA,IQQ,Diego Aracena International Airport,Iquique,CL
SCEL,SCL,Comodoro Arturo Merino Benítez International Airport,Santiago,CL
SCES,ESR,Ricardo García Posada Airport,El Salvador,CL
SCFA,ANF,Andrés Sabella Gálvez International Airport,Antofagasta,CL
SCFM,WPR,Captain Fuentes Martinez Airport,Porvenir,CL
SCFR,,Frutillar Airport,Frutillar,CL
SCFT,FFU,Futaleufú Airport,Futaleufu,CL
SCGC,UGL,Union Glacier Blue-Ice Runway,Union Glacier,AQ
SCGE,LSQ,María Dolores Airport,Los Angeles,CL
SCGZ,WPU,Guardia Marina Zañartu Airport,Puerto Williams,CL
SCHR,LGR,Cochrane Airport,Cochrane,CL
SCIC,,General Freire Airport,Curico,CL
SCIE,CCP,Carriel Sur International Airport,Concepcion,CL
SCIP,IPC,Mataveri International Airport,Isla De Pascua,CL
SCJK,,Juan Kemp Airport,Osorno,CL
SCJO,ZOS,Cañal Bajo Carlos Hott Siebert Airport,Osorno,CL
SCKA,,Santa Marta Airport,San Carlos,CL
SCKB,,Llollenorte Airport,Lago Caburga,CL
SCKD,,El Cardal Airport,Rio Bueno,CL
SCKE,,Piedra Negra Airport,Pelluhue,CL
SCKI,,Los Lirios Airport,Curico,CL
SCKL,,Lipangui Airport,Lampa,CL
SCKO,,Agua Buena Airport,Collipulli,CL
SCKP,CPP,Coposa Airport,Pica,CL
SCKQ,,Curimanque Airport,Pucon,CL
SCLL,VLR,Vallenar Airport,Vallenar,CL
SCNL,,Villa Cerro Castillo Airport,Villa Cerro Castillo,CL
SCNT,PNT,Lieutenant Julio Gallardo Airport,Puerto Natales,CL
SCOP,,Pilauco Airport,Osorno,CL
SCOV,OVL,El Tuqui Airport,Ovalle,CL
SCPC,ZPC,Pucón Airport,Pucon,CL
SCPM,,Pichilemu Airport,Pichilemu,CL
SCPN,,Pillán Airport,Chaiten,CL
SCPO,,Los Paltos Airport,Quinta de Tilcoco,CL
SCPQ,MHC,Mocopulli Airport,Dalcahue,CL
SCPR,,Corte Alto Airport,Purranque,CL
SCPT,,La Puerta Airport,Santa Cruz,CL
SCPU,,Peulla Airport,Peulla,CL
SCPV,PUX,El Mirador Airport,Puerto Varas,CL
SCPW,,Peumo Airport,Peumo,CL
SCPY,,Cerro Castillo Airport,Cerro Castillo,CL
SCPZ,,Patriot Hills Airport,Patriot Hills Base Camp,AQ
SCQP,ZCO,La Araucanía International Airport,Temuco,CL
SCQT,,Las Tacas Airport,Quebrada Las Tacas,CL
SCRA,CNR,Chañaral Airport,Chañaral,CL
SCRD,VAP,Rodelillo Airport,Viña Del Mar,CL
SCRG,,La Independencia Airport,Rancagua,CL
SCRM,TNM,Teniente Rodolfo Marsh Martin Airport,Villa Las Estrellas,AQ
SCSB,SMB,Franco Bianco Airport,Cerro Sombrero,CL
SCSE,LSC,La Florida Airport,La Serena-Coquimbo,CL
SCSF,SSD,Víctor Lafón Airport,San Felipe,CL
SCSS,,San Sebastián Airport,Porvenir,CL
SCST,WCA,Gamboa Airport,Castro,CL
SCTC,PZS,Maquehue Airport,Temuco,CL
SCTE,PMC,El Tepual International Airport,Puerto Montt,CL
SCTL,TLX,Panguilemo Airport,Talca,CL
SCTN,WCH,Nuevo Chaitén Airport,Chaitén,CL
SCTO,ZIC,Victoria Airport,Victoria,CL
SCTT,TTC,Las Breas Airport,Taltal,CL
SCVD,ZAL,Pichoy Airport,Valdivia,CL
SCVL,,Las Marías Airport,Valdivia,CL
SCVM,KNA,Viña del Mar Airport,Viña del Mar,CL
HSND,,Shendi Airport,Shendi,SD
SDAM,,Estadual de Campos dos Amarais - Prefeito Francisco Amaral Airport,Campinas,BR
SDCG,OLC,Senadora Eunice Micheles Airport,São Paulo De Olivença,BR
SDCO,SOD,Sorocaba Airport,Sorocaba,BR
SDIY,FEC,João Durval Carneiro Airport,Feira de Santana,BR
SDJL,JLS,Jales Airport,Jales,BR
SDOU,OUS,Jornalista Benedito Pimentel Airport,Ourinhos,BR
SDOW,OIA,Ourilândia do Norte Airport,Ourilândia do Norte,BR
SDRS,REZ,Resende Airport,Resende,BR
SDSC,QSC,Mário Pereira Lopes–São Carlos International Airport,São Carlos,BR
SDTK,JPY,Paraty Airport,Paraty,BR
SDUB,UBT,Ubatuba Gastão Madeira State Airport,Ubatuba,BR
SDUN,ITP,Itaperuna Airport,Itaperuna,BR
SDVG,VOT,Domingos Pignatari Airport,Votuporanga,BR
ESVE,,Stegeborg,Stegeborg,SE
ESVL,,Långtora Airfield,Enköping,SE
ESNH,HUV,Hudiksvall Airport,Hudiksvall,SE
SEAB,,Mar Abierto Airport,Mar Abierto,EC
SEAC,,Acado Airport,Acado,EC
SEAD,,Paandin Airport,Paandin,EC
SEAH,,Achuentza Airport,Achuentza,EC
SEAJ,,San Alejandro Airport,Valencia,EC
SEAL,,Algarrobo Airstrip,Guayaquil,EC
SEAM,ATF,Chachoán Regional Airport,Ambato,EC
SEAO,,Agromarina Airstrip,Samborondón,EC
SEAQ,,Aquapesca Airstrip,Engunga,EC
SEAU,,Chau Airstrip,Morona Santiago,EC
SEAX,,Mashumarentza Military Airstrip,Mashumarentza,EC
SEAY,,Ayangue Airport,Ayangue,EC
SEAZ,,Costa Azul Airstrip,Valencia,EC
SECO,OCC,Francisco De Orellana Airport,Coca,EC
SECU,CUE,Mariscal Lamar Airport,Cuenca,EC
SEGS,GPS,Seymour Galapagos Ecological Airport,Isla Baltra,EC
SEGU,GYE,José Joaquín de Olmedo International Airport,Guayaquil,EC
SEII,IBB,General Villamil Airport,Puerto Villamil,EC
SEJD,TNW,Jumandy Airport,Ahuano,EC
SEJI,JIP,Jipijapa Airport,Jipijapa,EC
SEKM,,KM 35 Airport,Fumisa,EC
SELT,LTX,Cotopaxi International Airport,Latacunga,EC
SEMA,MRR,Jose Maria Velasco Ibarra Airport,Macará,EC
SEMC,XMS,Coronel E Carvajal Airport,Macas,EC
SEMK,,Maki Airstrip,Maki,EC
SEMT,MEC,Eloy Alfaro International Airport,Manta,EC
SENL,LGQ,Nueva Loja Airport,Lago Agrio,EC
SEPT,PYO,Putumayo Airport,Puerto Putumayo,EC
SEPV,PVO,Reales Tamarindos Airport,Portoviejo,EC
SEQM,UIO,Mariscal Sucre International Airport,Quito,EC
SERO,ETR,Santa Rosa - Artillery Colonel Victor Larrea International Airport,Santa Rosa,EC
SESA,SNC,General Ulpiano Paez International Airport,Salinas/La Libertad,EC
SESC,SUQ,Sucúa Airport,Sucúa,EC
SESM,PTZ,Rio Amazonas Airport,Shell Mera,EC
SEST,SCY,San Cristóbal Airport,Puerto Baquerizo Moreno,EC
SESV,BHA,Los Perales Airport,Bahía de Caraquez,EC
SETH,TSC,Taisha Airport,Taisha,EC
SETI,TPN,Tiputini Airport,Tiputini,EC
SECA,LOH,Ciudad de Catamayo Airport,La Toma (Catamayo),EC
SETN,ESM,Carlos Concha Torres International Airport,Tachina,EC
SETR,TPC,Tarapoa Airport,Tarapoa,EC
SETU,TUA,Lieutenant Colonel Luis A. Mantilla International Airport,Tulcán,EC
SEZA,,Pampantza Airstrip,Pampantza,EC
SEZE,,Tzapapentza Airstrip,Tzapapentza,EC
SEZI,,Imatiño Airstrip,Imatiño,EC
SEZK,,Karakam Airstrip,Karakam,EC
SEZM,,Tamantza Airstrip,Tamantza,EC
SEZN,,Tzapino Airstrip,Tzapino,EC
SEZR,,Surik Nuevo Airstrip,Surikentza,EC
SFAL,PSY,Port Stanley Airport,Stanley,FK
SGAS,ASU,Silvio Pettirossi International Airport,Asunción,PY
SGAY,AYO,Aeropuerto Nacional Juan de Ayolas,Ayolas,PY
SGBN,BFA,Bahía Negra Airport,Bahía Negra,PY
SGCO,CIO,Lieutenant Colonel Carmelo Peralta National Airport,Concepción,PY
SGEN,ENO,Teniente Ramon A. Ayub Gonzalez International Airport,Encarnación,PY
SGES,AGT,Guaraní International Airport,Ciudad del Este,PY
SGFI,FLM,Aeródromo de Filadelfia,Filadelfia,PY
SGIB,,Itaipú Airport,Itaipú,PY
SGME,ESG,Dr. Luis María Argaña International Airport,Mariscal Estigarribia,PY
SGOL,OLK,Aeródromo de Fuerte,Fuerte Olimpo,PY
